id,label,timeset,users_can_post,link,category,username,talking_about_count,post_activity,fan_count,modularity_class,pageranks
110598432306650,Doctrine Man,,yes,https://www.facebook.com/DoctrineMan/,Community Organization,DoctrineMan,32929,1.36,162317,2,0.0039188736185452495
820409078015330,"7th Battalion, Royal Australian Regiment",,no,https://www.facebook.com/7thBattalionRAR/,Government Website,7thBattalionRAR,261,0.02,15043,2,4.912510289626201E-4
634866196642199,Military Writers Guild,,yes,https://www.facebook.com/milwritersguild/,Nonprofit Organization,milwritersguild,43,0.06,3285,2,4.912510289626201E-4
491956017613879,Yore,,yes,https://www.facebook.com/yoreband/,Musician/Band,yoreband,0,0.0,459,2,4.912510289626201E-4
9041660987,The Art of Manliness,,yes,https://www.facebook.com/artofmanliness/,Society & Culture Website,artofmanliness,10529,0.07,1058002,2,5.617404511032544E-4
675351615869705,RED MEAT from the secret files of Max Cannon,,yes,https://www.facebook.com/redmeatofficialpage/,Comedian,redmeatofficialpage,15,0.0,3445,2,4.912510289626201E-4
6985046929,Kevin Smith,,no,https://www.facebook.com/YesThatKevinSmith/,Artist,YesThatKevinSmith,48882,0.07,2759183,2,4.912510289626201E-4
371652628607,Terminal Lance,,yes,https://www.facebook.com/terminallance/,Entertainment Website,terminallance,426370,1.01,672770,2,0.004703705536220519
497372863611683,Cigars for Warriors,,no,https://www.facebook.com/CigarsForWarriors/,Community,CigarsForWarriors,279,0.1,4886,2,4.912510289626201E-4
392259944134895,Duffel Blog,,yes,https://www.facebook.com/duffelblog/,Media/News Company,duffelblog,63316,0.12,283163,2,0.0025304093931536177
59545011275,Lt General Hal Moore,,yes,https://www.facebook.com/WeWereSoldiersOnce/,Public Figure,WeWereSoldiersOnce,109,0.01,36065,2,4.912510289626201E-4
315663291792495,Jedburgh Brewing Company,,yes,https://www.facebook.com/JedburghBrewing/,Food & Beverage Company,JedburghBrewing,1,0.0,483,2,4.912510289626201E-4
113256155364063,Power Point Ranger,,yes,https://www.facebook.com/Powerpointranger/,Artist,Powerpointranger,2511,0.07,88282,2,5.847673499270829E-4
93084902383,Association of the United States Army - AUSA National,,no,https://www.facebook.com/AUSA.org/,Armed Forces,AUSA.org,2144,0.18,101559,5,0.0022998640267703325
121549478551,U.S. Army Combined Arms Center,,yes,https://www.facebook.com/USACAC/,Government Organization,USACAC,550,0.06,30590,2,0.0012904577530054087
142042295575,Small Wars Journal,,yes,https://www.facebook.com/SmallWarsJournal/,Nonprofit Organization,SmallWarsJournal,19,0.0,10992,2,4.912510289626201E-4
5281959998,The New York Times,,no,https://www.facebook.com/nytimes/,Newspaper,nytimes,1086407,2.5,14464439,2,4.912510289626201E-4
